"Na
me",dsec,"Scatter
Degree","Scatter
Value",Bps,n,"Scatter
Shielding",dLeak,B leak,n leak,"Leakage
Shield"
BD,6.70228,81.51390,0.00048,0.00331,2.47978,0.848147,6.77647,0.00656,2.18309,0.66584
S,5.03000,78.75580,0.00052,0.00044,3.36025,1.116690,5.12844,0.00094,3.02719,0.92329
Te,6.70228,81.51390,0.00048,0.00331,2.47978,0.848147,6.77647,0.00656,2.18309,0.66584
TL,8.45569,83.25532,0.00046,0.00551,2.25850,0.780656,8.51461,0.01036,1.98477,0.60535
U1,4.52500,77.53824,0.00053,0.00137,2.86234,0.964827,4.63418,0.00307,2.51315,0.76651
U2,7.18500,82.07654,0.00048,0.00386,2.41319,0.827837,7.25426,0.00752,2.12391,0.64779
BL,7.16475,82.05443,0.00048,0.00384,2.41588,0.828659,7.23420,0.00748,2.12632,0.64853
