"W/1000 
Gy/week","W hourly 
 uSv/h","dsad 
meter","Dose on length 
uSv/h","Shield Length 
(meter)","TVL 
meter",n,"Dose After Shield
uSv/h",on 30 cm,on 50 cm,on 100 cm,on 200 cm
5.944,148600.0,9.02,1826.441364595061,2.06,0.41,5.12195,0.013792865931505822,0.012919204274043616,0.012382082494766506,0.011177177474728054,0.009240689995534321
11.889,297225.0,9.47,3314.2508605511316,1.11,0.41,2.80488,5.194064386791861,4.879981319220706,4.68615846401232,4.249266051140268,3.5406292360833818
