,0
0,50.55576422659115
1,51.91202342011331
2,53.415978055496325
3,55.39928912849588
4,55.27865364997621
5,56.728644849642485
6,58.206951495884965
7,59.4431793031679
8,60.62305511055697
9,62.2718841831596
10,62.97515199711698
11,64.7828724681888
12,66.47968657206752
13,67.084674913044
14,68.34013704195424
15,69.06303719351283
16,72.41271165637019
17,73.31033652082175
18,74.4158840204847
19,74.87485219138273
20,74.51821904788177
21,75.25635513546364
22,75.94672765540243
23,78.57270693445544
24,79.60431554900656
25,81.78628628799596
26,81.17857337301444
27,82.8546622560023
28,86.36935598343737
29,85.10814339067568
30,86.2888995854614
31,85.43200493738885
32,87.30770626303503
33,88.73762581884603
34,89.2746872690173
35,89.84427541658648
36,90.64343036347657
37,91.40993017043047
38,94.52527397052538
39,93.69980103518036
40,94.44553646131737
41,94.48453706437073
42,94.96487393585606
43,94.36472373117476
44,95.86971959531033
45,95.79231316510317
46,96.64340233157208
47,94.06813912063902
48,96.3606038306164
49,97.40222623585453
50,97.29164927282774
51,96.82313574151604
52,96.73115515287756
53,96.11701673712047
54,96.48479897586628
55,98.90023200034283
56,98.40024385484917
57,98.82698598224778
58,97.79665534446056
59,98.14207588247545
60,98.38126460148662
61,99.29869241749375
62,99.13408508569354
63,101.47993653281911
64,99.64864641070122
65,100.39334606594679
66,99.89037048687132
67,100.5119785925232
68,100.7736460585408
69,100.39427960615255
70,98.4750187432578
71,98.41408276272699
72,98.29121965039491
73,98.60268023733747
74,96.49764470604552
75,96.95967542268392
76,94.45497842701852
77,96.2624749678032
78,96.79974452669401
79,95.30156813080988
80,94.72473177628325
81,93.34217802062645
82,92.70958299250816
83,94.07941196576044
84,93.79723194233503
85,93.62661352139708
86,93.92763648430447
87,92.49769938918385
88,92.52512632344941
89,93.47057752110662
90,92.69125535309664
91,92.10404035764562
92,92.1571303399627
93,90.7396947526869
94,92.66157392269932
95,91.6681320702454
96,92.21827404986188
97,93.34810955346461
98,91.01152304781102
99,90.45073754854886
100,90.9501886086345
101,89.1454823124938
102,89.43560535468833
103,88.26710434715677
104,86.88422919420718
105,86.531072880866
106,86.86891535333349
107,85.73736215509705
108,85.73602978476406
109,86.06872047874448
110,84.63440874590343
111,84.43136335607333
112,83.00755606944522
113,83.222124125098
114,81.70584411136984
115,83.37709272477548
116,82.69656317371862
117,81.75792240727702
118,81.03745311706312
119,80.44142347771712
120,81.3049380862902
121,80.48062893801463
122,80.2735652495842
123,79.43657610624973
124,78.28509987944217
125,76.74103244787447
126,75.84525343356036
127,75.17770160111404
128,75.93505319225322
129,75.22116786651594
130,74.55378397313923
131,73.12117633449743
132,73.00985445989186
133,71.92240843823133
134,72.24979261645291
135,71.49491594571165
136,70.08502294371749
137,69.58263214658089
138,69.21788632839382
139,70.16618926795292
140,68.40394202933192
141,68.02047727721889
142,67.88555953234979
143,67.88565573356571
144,67.60214609222328
145,66.3215177358062
146,65.11656589450145
147,64.63821911390089
148,65.10032379069659
149,62.933123093641505
150,63.16217035512655
151,62.63282813111931
152,61.963092408844176
153,61.997599424040516
154,61.346878046796746
155,60.876339145665625
156,60.15166809599187
157,60.54786682310931
158,59.61192820139013
159,58.43230212597301
160,57.74959704878789
161,56.93148629401825
162,56.290042137950365
163,55.50708856903469
164,55.34602474068608
165,54.70596586256809
166,53.5788913595193
167,53.4584035077845
168,53.18622438125061
169,53.04099502050343
170,52.64275487870569
171,52.10928049857401
172,51.717180717225766
173,50.99223327014396
174,50.40187889582468
175,49.37359594106273
176,48.85643360275142
177,47.66249683291552
178,47.786198834990515
179,47.78974686150778
180,46.96399036955952
181,48.314000534570305
182,48.12893069134452
183,46.47177931576498
184,46.0556784033225
185,45.129806960850324
186,44.93426890344212
187,43.78596671310882
188,42.806475146396686
189,42.49685633274995
190,43.20473856107089
191,43.212301236231745
192,42.859343506853804
193,42.08257240589923
194,41.40049081870928
195,42.239728573549876
196,40.69085768684462
197,41.03147744732567
198,39.7933320059468
199,39.92042429196254
200,39.06561403761776
201,38.45463116809287
202,37.879426299321544
203,38.028190507483814
204,37.479298619005284
205,37.10593893672136
206,36.58227455688132
207,36.30620753760931
208,35.758472702063706
209,36.34068765745603
210,36.312150853974465
211,36.63360364413774
212,35.288849529255806
213,35.17841033000007
214,34.73219192862564
215,34.064295668902645
216,33.84223638039213
217,32.93645615718284
218,32.39471084689027
219,31.63728705883571
220,32.23107219310177
221,32.37697761421063
222,31.748385652045247
223,30.966632259963433
224,30.355988092931362
225,30.436707177753902
226,30.16976649366061
227,30.024303566888435
228,29.63620371046341
229,28.72360270840193
230,28.17837054019101
231,27.693146771158943
232,27.547508228267752
233,27.31235529977971
234,26.856879786292826
235,26.79462081860096
236,26.12882262660754
237,26.238696014628292
238,26.33394178541443
239,25.86977677986453
240,25.263045963861313
241,25.04851138630532
242,24.868215146379093
243,24.9546401300161
244,24.396430592195617
245,24.36415482072919
246,24.46806580099263
247,24.275277512719914
248,23.83522188700025
249,23.08848579419079
250,22.966616998982975
251,22.85229943063872
252,22.639857911320764
253,22.272705628448826
254,22.0868160281605
255,21.82261653215467
256,21.235149897643304
257,21.134655207807505
258,20.984163982472626
259,20.88555193525004
260,20.51213494531626
261,19.949295795502678
262,19.42328301626486
263,19.388734954416943
264,19.217216768383434
265,19.052984416453516
266,18.82268501823739
267,18.6179036411371
268,18.299521447461174
269,18.287098549159076
270,17.4150598648134
271,17.407744456566267
272,17.21423026362146
273,17.410445845515017
274,17.306052795710176
275,17.180228920683035
276,16.604926982260796
277,16.557157617257857
278,16.079930679341
279,16.05706518674957
280,15.991387746306263
281,15.9051841650218
282,15.244131945908384
283,15.124076689421267
284,14.871360886605334
285,14.770013611745883
286,14.83826020522577
287,14.62716862188188
288,14.525552611735021
289,14.378483264102988
290,14.348720400164877
291,13.812783670541432
292,13.642229633100595
293,13.309931842380934
294,13.070884095399615
295,13.038539639328043
296,12.893089733795252
297,12.862169484922209
298,12.721837147981352
299,12.622151695319591
